,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
279,R. VEERARAGHAVULU NAIDU,1989,ANDHRA PRADESH,CHITTOOR,IND,0.03
280,DINNE SUDHAKAR,1989,ANDHRA PRADESH,CHITTOOR,IND,0.02
281,D. BABU NAIDU,1989,ANDHRA PRADESH,CHITTOOR,IND,0.02
282,ANNAIAHGARI SAIPRATHAP,1989,ANDHRA PRADESH,RAJAMPET,INC,57.94
283,PALAKONDRAYUDU SUGAVASI,1989,ANDHRA PRADESH,RAJAMPET,TDP,29.02
284,CHALLAPALLI NARASIMHA REDDY,1989,ANDHRA PRADESH,RAJAMPET,BJP,7.99
285,K. KRISHNAIAH,1989,ANDHRA PRADESH,RAJAMPET,IND,2.72
286,GOVINDU PEDDA REDDEYYA,1989,ANDHRA PRADESH,RAJAMPET,IND,0.6
287,PRASADU REDDY KOKKANTI,1989,ANDHRA PRADESH,RAJAMPET,IND,0.43
288,JETTI VENKATA RAMAIAH,1989,ANDHRA PRADESH,RAJAMPET,IND,0.31
289,SUGAVASI NARAYANASWAMY,1989,ANDHRA PRADESH,RAJAMPET,IND,0.29
290,KASTHURI OBAIAH,1989,ANDHRA PRADESH,RAJAMPET,IND,0.25
291,ABDUL SALAM SHAIK,1989,ANDHRA PRADESH,RAJAMPET,IND,0.16
292,K. RAMA MURTHY,1989,ANDHRA PRADESH,RAJAMPET,IND,0.13
293,VALIPI REDDY SREERAMA REDDY,1989,ANDHRA PRADESH,RAJAMPET,IND,0.1
294,ASADI VENKATADRI,1989,ANDHRA PRADESH,RAJAMPET,IND,0.06
295,Y.S. RAJASEKHAR REDDY,1989,ANDHRA PRADESH,CUDDAPAH,INC,75.29
296,C.RAMACHANDRAIAH,1989,ANDHRA PRADESH,CUDDAPAH,TDP,21.28
297,GOURU PULLA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,BJP,2.16
298,SIVANADHA REDDY CHADIPIRALA,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.24
299,BORRA OBULA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.11
300,CHINTHA CHANDRASEKHAR REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.09
301,BADVELI RAMACHANDRA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.07
302,K. RAVEENDRA BABU,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.06
303,P. RAVEENDRANAD REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
304,K. PULLAIAH,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
305,BATHALA PAPI REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
306,JAMAPURAM VEMANARAYANA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.05
307,MAGBUL HUSSAIN,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
308,M. SREENATH REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
309,C. NARAYANA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
310,K. SESHA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
311,G. RAGHUNAND REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
312,K.C. KONDA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.04
313,YANGALA RAJAGOPAL REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.03
314,MADAM BALA SUBBAIAH,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.03
315,LEKKALA VENKATA RAMANA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
316,SEERLA NAGAIAH,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
317,SUDDAMALLA NARASIMHA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
318,K. KATAMAIAH,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
319,MULE SUBBI REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
320,DONTHI REDDY CHINNA GANGI REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
321,C. SUBBA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.02
322,NARAPUREDDY RAMAKRISHNUDU,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
323,RUPANGUDI SEETHA RAMANA,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
324,KALLUTLA RAMASUBBA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
325,N. JAGADEKA REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
326,LAKKIREDDI SUDHAKAR REDDY,1989,ANDHRA PRADESH,CUDDAPAH,IND,0.01
327,S. GANGADHARA,1989,ANDHRA PRADESH,HINDUPUR,INC,53.14
328,K. RAMACHANDRA REDDY,1989,ANDHRA PRADESH,HINDUPUR,TDP,36.53
329,SEELAM KRISHNA REDDY,1989,ANDHRA PRADESH,HINDUPUR,BJP,8.13
330,C.V. CHALAPATHI,1989,ANDHRA PRADESH,HINDUPUR,IND,1.54
331,PATNAM CHANDRA SEKHAR,1989,ANDHRA PRADESH,HINDUPUR,IND,0.23
332,ADINARAYANA,1989,ANDHRA PRADESH,HINDUPUR,IND,0.17
333,VENKATARAMANA THUTHUKA,1989,ANDHRA PRADESH,HINDUPUR,IND,0.14
334,AMBATI SATISH KUMAR,1989,ANDHRA PRADESH,HINDUPUR,IND,0.07
335,M. SANJEEVAPPA,1989,ANDHRA PRADESH,HINDUPUR,IND,0.06
336,ANANTHA VENKATA REDDY,1989,ANDHRA PRADESH,ANANTAPUR,INC,59.14
337,B.T.L.N. CHOWDARY,1989,ANDHRA PRADESH,ANANTAPUR,TDP,32.67
338,VENKATASWAMY MUTHULURU,1989,ANDHRA PRADESH,ANANTAPUR,BJP,6.32
339,GURUGU VENKATADASU,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.6
340,K. NARAYANASWAMY,1989,ANDHRA PRADESH,ANANTAPUR,JP,0.53
341,MOTAPPA,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.32
342,ADAVULA NARAYANA,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.16
343,PUJARI NARAYANA,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.14
344,BAGALAKOTA RAME RAO,1989,ANDHRA PRADESH,ANANTAPUR,IND,0.13
345,K. VIJAYA BHASKARA REDDY,1989,ANDHRA PRADESH,KURNOOL,INC,51.92
346,S.V. SUBBA REDDY,1989,ANDHRA PRADESH,KURNOOL,TDP,42.91
347,KURNOOL KAPILESWARAIAH,1989,ANDHRA PRADESH,KURNOOL,BJP,3.5
348,ULLUGADDALA VEERANNA,1989,ANDHRA PRADESH,KURNOOL,IND,0.75
349,M. ABDUL GAFOOR,1989,ANDHRA PRADESH,KURNOOL,IND,0.3
350,A.V. SUBBA REDDY,1989,ANDHRA PRADESH,KURNOOL,IND,0.2
351,T. SUDHAKAR,1989,ANDHRA PRADESH,KURNOOL,IND,0.16
352,Y. GURUDASU,1989,ANDHRA PRADESH,KURNOOL,IND,0.1
353,B.V. RAMI REDDY,1989,ANDHRA PRADESH,KURNOOL,IND,0.08
354,J. AKTHARUZ ZAMA,1989,ANDHRA PRADESH,KURNOOL,IND,0.05
355,JAYANTHI VENKATESWARLU,1989,ANDHRA PRADESH,KURNOOL,IND,0.04
356,GANGULA PRATHAPA REDDY,1989,ANDHRA PRADESH,NANDYAL,INC,60.1
357,CHALLA RAMA KRISHNA REDDY,1989,ANDHRA PRADESH,NANDYAL,TDP,30.37
358,S.P.Y. REDDY,1989,ANDHRA PRADESH,NANDYAL,BJP,7.55
359,NALLAGATLA NARASIMHULU,1989,ANDHRA PRADESH,NANDYAL,JP,0.51
360,D. VUSEN BASHA,1989,ANDHRA PRADESH,NANDYAL,IND,0.44
361,RAMALINGANNA,1989,ANDHRA PRADESH,NANDYAL,IND,0.3
362,B. NAGA BHUSHANAM,1989,ANDHRA PRADESH,NANDYAL,IND,0.14
363,RAMBHUPAL REDDY,1989,ANDHRA PRADESH,NANDYAL,IND,0.13
364,K. PRABHAKARA RAO,1989,ANDHRA PRADESH,NANDYAL,IND,0.12
365,MACHALA MADDULETI,1989,ANDHRA PRADESH,NANDYAL,IND,0.1
366,B. ROOP SINGH,1989,ANDHRA PRADESH,NANDYAL,IND,0.1
367,ALUVALA SATYANARAYANA,1989,ANDHRA PRADESH,NANDYAL,IND,0.08
368,BALAIAH,1989,ANDHRA PRADESH,NANDYAL,IND,0.03
369,B. SEKHAR,1989,ANDHRA PRADESH,NANDYAL,IND,0.03
370,MALLU RAVI,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),INC,44.74
371,MAHENDRANATH P.,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),TDP,36.06
372,K. LAXMAN,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),BJP,13.34
373,CHINNA PEDDAIAH,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.5
374,B. BALARAJU,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),BSP,1.41
375,KASHANNA,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,1.25
376,MALA CHINNA CHENNAIAH,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.62
377,ALAMPALLY LAXMAIAH,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),JP,0.62
378,YERRA VEERABHADRAIAH,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.3
379,SAYAPPA,1989,ANDHRA PRADESH,NAGARKURNOOL (SC),IND,0.17
380,MALLIKARJUN,1989,ANDHRA PRADESH,MAHABUBNAGAR,INC,36.98
381,DYAPA GOPAL REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,TDP,31.5
382,SUBBA REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,BJP,21.13
383,GULAM MODH. SAMDANI,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.32
384,GOPIRAJU PRAKASH RAO,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,2.01
385,KRISHNA REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.61
386,PANDU,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,1.35
387,MALLU MASI REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.64
388,RAMCHANDRAIAH,1989,ANDHRA PRADESH,MAHABUBNAGAR,BSP,0.51
389,LAXMAIAH,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.46
390,SANJEEVA REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.41
391,BOKKI MOGULAIAH,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.27
392,KISHTAPPA,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
393,BHEEMAIAH,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
394,KESHAPPA,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.18
395,SADASIVA REDDY,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.17
396,MOHD. KAREEMUDDIN KHAN,1989,ANDHRA PRADESH,MAHABUBNAGAR,IND,0.09
397,SULTAN SALAHUDDIN OWAISI,1989,ANDHRA PRADESH,HYDERABAD,MIM,46.18
398,BADDAM BAL REDDY,1989,ANDHRA PRADESH,HYDERABAD,BJP,42.17
399,INDRA REDDY PATLOLA,1989,ANDHRA PRADESH,HYDERABAD,TDP,5.03
400,M. SHIVASHANKAR,1989,ANDHRA PRADESH,HYDERABAD,INC,3.4
401,MOHD. HAMEEDUL RAHMAN,1989,ANDHRA PRADESH,HYDERABAD,IND,0.9
402,KHAJA HAKEEMUDDIN,1989,ANDHRA PRADESH,HYDERABAD,IND,0.53
403,CHATUR SINGH SHASTRI,1989,ANDHRA PRADESH,HYDERABAD,IND,0.41
404,MOHANA CHARY,1989,ANDHRA PRADESH,HYDERABAD,JP,0.2
405,KESHAV RAO JADHAV,1989,ANDHRA PRADESH,HYDERABAD,IND,0.15
406,ACHARY DAYA SHANKAR DWIVEDI,1989,ANDHRA PRADESH,HYDERABAD,IND,0.15
407,GOLCONDA YADAIAH,1989,ANDHRA PRADESH,HYDERABAD,IND,0.12
408,MOHD. AFZAL RASHEED,1989,ANDHRA PRADESH,HYDERABAD,IND,0.12
409,R. CHANDRA KANTH,1989,ANDHRA PRADESH,HYDERABAD,IND,0.09
410,PARSHURAM REDDY,1989,ANDHRA PRADESH,HYDERABAD,IND,0.08
411,JAGADISH PRASAD MITTAL,1989,ANDHRA PRADESH,HYDERABAD,IND,0.08
412,SARAT CHANDRA NARAHARI SETTY,1989,ANDHRA PRADESH,HYDERABAD,BSP,0.07
413,S. JAGATH SINGH,1989,ANDHRA PRADESH,HYDERABAD,IND,0.06
414,K. RAMULU,1989,ANDHRA PRADESH,HYDERABAD,IND,0.04
415,BRIJ MOHAN VYAS,1989,ANDHRA PRADESH,HYDERABAD,IND,0.04
416,N. GANGAMMA (W),1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
417,MANIKYAM,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
418,D. MAHA VISHNU,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
419,M. MANIK RAO,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
420,JAI KISHAN,1989,ANDHRA PRADESH,HYDERABAD,IND,0.03
421,S.M. RAMA KRISHNA GOUD,1989,ANDHRA PRADESH,HYDERABAD,IND,0.02
422,RAMA KRISHNA REDDY,1989,ANDHRA PRADESH,HYDERABAD,IND,0.02
423,BANDARU DATTATRAYA,1989,ANDHRA PRADESH,SECUNDERABAD,BJP,48.19
424,T. MANEMMA ANJAIAH (W),1989,ANDHRA PRADESH,SECUNDERABAD,INC,32.05
425,K. PRATAP REDDY,1989,ANDHRA PRADESH,SECUNDERABAD,JD,17.74
426,G. SURYANARAYANA,1989,ANDHRA PRADESH,SECUNDERABAD,JP,0.32
427,B. YADAIAH,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.24
428,P. SUNDARAIAH,1989,ANDHRA PRADESH,SECUNDERABAD,BSP,0.13
429,BOYINI NARSING RAO,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.13
430,CHILUKALA GOPAL KRISHNA,1989,ANDHRA PRADESH,SECUNDERABAD,SRP,0.11
431,K. RAMCHANDER,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.08
432,PRASHANTH,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.07
433,RAJESHWAR REDDY GURRAM,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.07
434,BAKSHI RAM VIJAY WARGI,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.06
435,KHAJA YOUSUFDDIN GHORY,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.06
436,K.K. VISHWANATHAM,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.05
437,JAGADISWAR,1989,ANDHRA PRADESH,SECUNDERABAD,JNP,0.05
438,E.P.A. RASHEED,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.05
439,P. ANJAIAH,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
440,G.R. RAMCHANDER,1989,ANDHRA PRADESH,SECUNDERABAD,MSD,0.04
441,S. NANAK SINGH SANDHU,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
442,NARSIMHA YADAV,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.04
443,N. SRI NIVAS,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
444,SRIPATHI VENKATESWARA RAO,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
445,BABULAL,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
446,SURYA GUPTA S.,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
447,KAMAL KISHORE SHARMA,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
448,HANS KUMAR JAISWAL,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
449,M. RANGAIAH GOUD,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.03
450,RAVINDRA KARUNA RAO,1989,ANDHRA PRADESH,SECUNDERABAD,BDLP,0.03
451,P.S. SIVA RAJU,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
452,P. SURESH,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
453,GPVERDHAN LAL,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
454,KOTA SATYANARAYANA,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
455,JAGADEESH PRASAD MITTAL,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
456,M. RAMCHANDER RAO,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
457,PANDIT RAJA RAM SHASTRI,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
458,S. SUSAI DASS,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
459,K. GANESH RAO,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.02
460,ACHARYA DAYA DWIVEDI,1989,ANDHRA PRADESH,SECUNDERABAD,IND,0.01
461,YELLAIAH NANDI,1989,ANDHRA PRADESH,SIDDIPET (SC),INC,48.6
462,G. VIJAYA RAMA RAO,1989,ANDHRA PRADESH,SIDDIPET (SC),TDP,29.96
463,BALARAM PULI,1989,ANDHRA PRADESH,SIDDIPET (SC),BJP,13.81
464,BANDAMIDHI SAILU,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,2.83
465,AMBEDKAR G.R.,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,2.17
466,PREM CHAND,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.77
467,TALLA RAJAIAH,1989,ANDHRA PRADESH,SIDDIPET (SC),BSP,0.62
468,MOLUGU PANDU,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.32
469,BODUPULA VENKANNA,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.3
470,C. BHANU (W),1989,ANDHRA PRADESH,SIDDIPET (SC),JP,0.24
471,MISALA MALLAIAH,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.17
472,VISHNU SINGH RAWAT,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.15
473,SIRUGOJI BALAPOCHAIAH,1989,ANDHRA PRADESH,SIDDIPET (SC),IND,0.06
474,N. BAGA REDDY,1989,ANDHRA PRADESH,MEDAK,INC,50.67
475,D. RAMA KRISHNA,1989,ANDHRA PRADESH,MEDAK,TDP,28.04
476,ALLANI KISHAN RAO,1989,ANDHRA PRADESH,MEDAK,BJP,15.79
477,NALLA SURYAPRAKASH,1989,ANDHRA PRADESH,MEDAK,BSP,2.87
478,GANTA BABU,1989,ANDHRA PRADESH,MEDAK,IND,0.71
479,N. VITTALAIAH,1989,ANDHRA PRADESH,MEDAK,IND,0.59
480,M.N. RAHMAN,1989,ANDHRA PRADESH,MEDAK,JP,0.43
481,S. SRI NIVASA REDDY,1989,ANDHRA PRADESH,MEDAK,IND,0.37
482,SOMA DEVAIAH,1989,ANDHRA PRADESH,MEDAK,IND,0.21
483,GABBULA NAGENDER,1989,ANDHRA PRADESH,MEDAK,IND,0.19
484,SUTHARI RADHA KRISHNA,1989,ANDHRA PRADESH,MEDAK,IND,0.13
485,GADDAM GANGA REDDY,1989,ANDHRA PRADESH,NIZAMABAD,TDP,44.41
486,T. ADURI BALA GOUD,1989,ANDHRA PRADESH,NIZAMABAD,INC,32.62
487,LOKA BHUPATHI REDDY,1989,ANDHRA PRADESH,NIZAMABAD,BJP,18.6
488,A. NARAYANA,1989,ANDHRA PRADESH,NIZAMABAD,BSP,0.92
489,GANTA BABU,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.72
490,M.A. RAOOF,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.48
491,MASTA NARAYANA,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.42
492,BABU NENAVATH,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.41
493,LAXMAN,1989,ANDHRA PRADESH,NIZAMABAD,LKP,0.28
494,BADYA NAIK,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.24
495,M. SHIVA RAMA KRISHNA,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.23
496,DASARI REDDA BALARAJU,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.15
497,MADHU SUDAN VEMPATI,1989,ANDHRA PRADESH,NIZAMABAD,JP,0.12
498,LINGALA GOVERDHAN GOUD (YELLA GOUD),1989,ANDHRA PRADESH,NIZAMABAD,IND,0.11
499,S. PRAMILA (W),1989,ANDHRA PRADESH,NIZAMABAD,IND,0.09
500,T. ASHOK,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.06
501,V. BASWANTH,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.05
502,BOI BASWAIAH,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.05
503,SARSANI VENKAT RAMI REDDY,1989,ANDHRA PRADESH,NIZAMABAD,IND,0.02
504,ALLOLA INDRAKARAN REDDY,1989,ANDHRA PRADESH,ADILABAD,TDP,40.96
505,P. NARASA REDDY,1989,ANDHRA PRADESH,ADILABAD,INC,33.12
506,THUMALA NARAYANA REDDY,1989,ANDHRA PRADESH,ADILABAD,BJP,20.94
507,DURGAM SHYAM RAO,1989,ANDHRA PRADESH,ADILABAD,IND,1.88
508,BAIRIMALA MOGILAIAH,1989,ANDHRA PRADESH,ADILABAD,IND,1.44
509,PANNA LAL,1989,ANDHRA PRADESH,ADILABAD,IND,0.78
510,GOGARLA RAMCHANDER,1989,ANDHRA PRADESH,ADILABAD,IND,0.63
511,PAMULA BHEEMAIAH,1989,ANDHRA PRADESH,ADILABAD,IND,0.13
512,MOHD. SHAFIUDDIN,1989,ANDHRA PRADESH,ADILABAD,IND,0.11
513,G. VENKAT SWAMY,1989,ANDHRA PRADESH,PEDDAPALLI (SC),INC,49.92
514,SUDDALA DEVAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),TDP,28.05
515,CHINTHA SAMBA MURTHY,1989,ANDHRA PRADESH,PEDDAPALLI (SC),BJP,10.49
516,BOJJA BIXAMAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,2.44
517,MANDAMYSAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,2.02
518,GANTA SRIHARI,1989,ANDHRA PRADESH,PEDDAPALLI (SC),JP,1.49
519,GUMMADIRAJALINGU,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,1.01
520,KANDI RAJNARSAKKA (W),1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.89
521,GADELA VINAYA KUMAR,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.84
522,SHAGANTI SANJEEVAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.73
523,PERKA LINGAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),BSP,0.53
524,MATURI DURGAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.52
525,DHARMAPURI RAMAIAH,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.48
526,KYATHAM VISHNUVADAN,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.47
527,BONKURI ARJUN,1989,ANDHRA PRADESH,PEDDAPALLI (SC),IND,0.11
528,CHOKKA RAO JUVVADI,1989,ANDHRA PRADESH,KARIMNAGAR,INC,43.42
529,KRISHNAIAH N.V.,1989,ANDHRA PRADESH,KARIMNAGAR,IND,20.63
530,EDAVALLI JAGGA REDDY,1989,ANDHRA PRADESH,KARIMNAGAR,BJP,19.39
531,G. MOHANA RAO,1989,ANDHRA PRADESH,KARIMNAGAR,JD,8.8
532,GURRAM RAJESWAR REDDY,1989,ANDHRA PRADESH,KARIMNAGAR,IND,1.89
533,CHALLURU RAMESH SAGAR,1989,ANDHRA PRADESH,KARIMNAGAR,JP,1.38
534,KANDULA MALLESHAM,1989,ANDHRA PRADESH,KARIMNAGAR,IND,1.13
535,RAGULA HANMANDLU,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.6
536,ASAD KHAN,1989,ANDHRA PRADESH,KARIMNAGAR,BSP,0.59
537,M. GOPAL,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.55
538,RAMAPALLI KISTAYYA,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.48
539,V. SRIHARI,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.3
540,K. NAGESH,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.26
541,MAMINDLA CHINNA BHODMAIAH,1989,ANDHRA PRADESH,KARIMNAGAR,LKP,0.24
542,B. RAJESHAM,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.21
543,SAGI RAJGOPAL RAO,1989,ANDHRA PRADESH,KARIMNAGAR,IND,0.13
544,KAMALUDDIN AHMED,1989,ANDHRA PRADESH,HANAMKONDA,INC,49.28
545,VANGA SUNDERSHAN REDDY,1989,ANDHRA PRADESH,HANAMKONDA,TDP,32.41
546,JANGA REDDY CHANDUPATLA,1989,ANDHRA PRADESH,HANAMKONDA,BJP,10.31
547,KALEEMUDDIN,1989,ANDHRA PRADESH,HANAMKONDA,IND,3.14
548,AGAIAH POGULA,1989,ANDHRA PRADESH,HANAMKONDA,MCPI,2.14
549,BOOMAIAH MADISETTY,1989,ANDHRA PRADESH,HANAMKONDA,IND,0.8
550,PINGLLI DHARMA REDDY,1989,ANDHRA PRADESH,HANAMKONDA,JP,0.45
551,ALAKUNTLA YELLAIAH,1989,ANDHRA PRADESH,HANAMKONDA,IND,0.42
552,B. RAMALINGAM,1989,ANDHRA PRADESH,HANAMKONDA,IND,0.39
553,JOGU KISTAIAH,1989,ANDHRA PRADESH,HANAMKONDA,BSP,0.35
554,SATHYA VRAT,1989,ANDHRA PRADESH,HANAMKONDA,IND,0.31
555,SURENDRA REDDY RAMA SAHAYAM,1989,ANDHRA PRADESH,WARANGAL,INC,44.92
556,NEMARUGOMMULA YETHIRAJA RAO,1989,ANDHRA PRADESH,WARANGAL,TDP,35.91
557,KOLA JANARDHAN,1989,ANDHRA PRADESH,WARANGAL,BJP,5.61
558,RAJANNA SOMA,1989,ANDHRA PRADESH,WARANGAL,MCPI,5.36
559,BUGA SREERAMULU,1989,ANDHRA PRADESH,WARANGAL,IND,4.26
560,RAMANNA GOUD,1989,ANDHRA PRADESH,WARANGAL,IND,1.63
561,DARAM MADAN MOHAN,1989,ANDHRA PRADESH,WARANGAL,IND,0.96
562,AZEEZ ABDUL,1989,ANDHRA PRADESH,WARANGAL,BSP,0.56
563,BHUPAL GOUD,1989,ANDHRA PRADESH,WARANGAL,JP,0.38
564,SREEPATHI KOMARAIAH,1989,ANDHRA PRADESH,WARANGAL,IND,0.27
565,MALOTHU NANYA,1989,ANDHRA PRADESH,WARANGAL,IND,0.09
566,MOHD. ABDUL ALEEM,1989,ANDHRA PRADESH,WARANGAL,IND,0.04
567,RANGAYYA NAYUDU P.V.,1989,ANDHRA PRADESH,KHAMMAM,INC,44.2
568,TAMMINENI VEERABHADRAM,1989,ANDHRA PRADESH,KHAMMAM,CPM,43.37
569,GADDAM VENKATRAMAYYA,1989,ANDHRA PRADESH,KHAMMAM,IND,6.43
570,ALI KHADAR SAYYAD,1989,ANDHRA PRADESH,KHAMMAM,BJP,1.8
571,KHAJA KHAN MOHMAD,1989,ANDHRA PRADESH,KHAMMAM,IND,0.56
572,KILARI MANMADHA RAO,1989,ANDHRA PRADESH,KHAMMAM,IND,0.55
